Date_Time,Cell62,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 12:27:16,0.774,0.774,Cell62
2022-10-10 12:27:17,0.773,0.773,Cell62
2022-10-10 12:27:18,0.771,0.771,Cell62
2022-10-10 12:27:20,0.769,0.769,Cell62
2022-10-10 12:27:26,0.807,0.807,Cell62
2022-10-10 12:27:28,0.803,0.803,Cell62
2022-10-10 12:27:29,0.802,0.802,Cell62
2022-10-10 12:27:30,0.793,0.793,Cell62
2022-10-10 12:27:33,0.776,0.776,Cell62
2022-10-10 12:27:35,0.774,0.774,Cell62
2022-10-10 12:27:35,0.766,0.766,Cell62
2022-10-10 12:27:44,0.728,0.728,Cell62
2022-10-10 12:43:42,0.065,0.065,Cell62
2022-10-10 13:17:39,0.938,0.938,Cell62
2022-10-10 14:47:25,0.748,0.748,Cell62
2022-10-10 14:47:28,0.743,0.743,Cell62
2022-10-10 14:47:29,0.741,0.741,Cell62
2022-10-10 14:47:39,0.723,0.723,Cell62
2022-10-10 14:47:40,0.718,0.718,Cell62
2022-10-10 14:47:41,0.717,0.717,Cell62
2022-10-10 14:47:43,0.713,0.713,Cell62
2022-10-10 14:47:44,0.711,0.711,Cell62
2022-10-10 14:47:46,0.704,0.704,Cell62
2022-10-10 14:47:49,0.695,0.695,Cell62
2022-10-10 14:47:50,0.695,0.695,Cell62
2022-10-10 14:47:51,0.693,0.693,Cell62
2022-10-10 14:47:53,0.686,0.686,Cell62
2022-10-10 14:47:54,0.682,0.682,Cell62
2022-10-10 14:47:55,0.677,0.677,Cell62
2022-10-10 14:47:56,0.675,0.675,Cell62
2022-10-10 14:47:57,0.671,0.671,Cell62
2022-10-10 14:47:58,0.665,0.665,Cell62
2022-10-10 14:47:59,0.662,0.662,Cell62
2022-10-10 14:48:00,0.657,0.657,Cell62
2022-10-10 14:48:01,0.653,0.653,Cell62
2022-10-10 14:48:02,0.653,0.653,Cell62
2022-10-10 14:48:03,0.645,0.645,Cell62
2022-10-10 14:48:04,0.639,0.639,Cell62
2022-10-10 14:48:05,0.633,0.633,Cell62
2022-10-10 14:48:06,0.631,0.631,Cell62
2022-10-10 14:48:07,0.618,0.618,Cell62
2022-10-10 14:48:08,0.611,0.611,Cell62
2022-10-10 14:48:09,0.611,0.611,Cell62
2022-10-10 14:48:10,0.609,0.609,Cell62
2022-10-10 14:48:11,0.599,0.599,Cell62
2022-10-10 14:48:12,0.599,0.599,Cell62
2022-10-10 14:48:13,0.568,0.568,Cell62
2022-10-10 14:48:14,0.558,0.558,Cell62
2022-10-10 14:48:15,0.558,0.558,Cell62
2022-10-10 14:48:16,0.552,0.552,Cell62
2022-10-10 14:48:17,0.543,0.543,Cell62
2022-10-10 14:48:18,0.538,0.538,Cell62
2022-10-10 14:48:19,0.526,0.526,Cell62
2022-10-10 14:48:20,0.519,0.519,Cell62
2022-10-10 14:48:21,0.515,0.515,Cell62
2022-10-10 14:48:22,0.504,0.504,Cell62
2022-10-10 14:48:23,0.504,0.504,Cell62
2022-10-10 14:48:24,0.491,0.491,Cell62
2022-10-10 14:48:25,0.485,0.485,Cell62
2022-10-10 14:48:26,0.485,0.485,Cell62
2022-10-10 14:48:27,0.473,0.473,Cell62
2022-10-10 14:48:28,0.473,0.473,Cell62
2022-10-10 14:48:29,0.464,0.464,Cell62
2022-10-10 14:48:30,0.46,0.46,Cell62
2022-10-10 14:48:31,0.449,0.449,Cell62
2022-10-10 14:48:32,0.449,0.449,Cell62
2022-10-10 14:48:33,0.446,0.446,Cell62
2022-10-10 14:48:34,0.44,0.44,Cell62
2022-10-10 14:48:35,0.435,0.435,Cell62
2022-10-10 14:48:36,0.435,0.435,Cell62
2022-10-10 14:48:37,0.429,0.429,Cell62
2022-10-10 14:48:38,0.429,0.429,Cell62
2022-10-10 14:48:39,0.423,0.423,Cell62
2022-10-10 14:48:40,0.423,0.423,Cell62
2022-10-10 14:48:41,0.416,0.416,Cell62
2022-10-10 14:48:42,0.413,0.413,Cell62
2022-10-10 14:48:43,0.409,0.409,Cell62
2022-10-10 14:48:44,0.409,0.409,Cell62
2022-10-10 14:48:45,0.407,0.407,Cell62
2022-10-10 14:48:46,0.403,0.403,Cell62
2022-10-10 14:48:47,0.399,0.399,Cell62
2022-10-10 14:48:48,0.399,0.399,Cell62
