Date_Time,Cell8,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 12:30:20,0.026,0.026,Cell8
2022-10-10 12:31:09,0.018,0.018,Cell8
2022-10-10 12:31:20,0.017,0.017,Cell8
2022-10-10 12:32:11,0.012,0.012,Cell8
2022-10-10 12:32:12,0.012,0.012,Cell8
2022-10-10 12:42:06,0.003,0.003,Cell8
2022-10-10 12:44:09,0.055,0.055,Cell8
2022-10-10 12:44:14,0.053,0.053,Cell8
2022-10-10 12:44:37,0.042,0.042,Cell8
2022-10-10 12:44:38,0.042,0.042,Cell8
2022-10-10 13:02:21,0.035,0.035,Cell8
2022-10-10 13:02:50,0.024,0.024,Cell8
2022-10-10 13:03:18,0.019,0.019,Cell8
2022-10-10 13:03:29,0.017,0.017,Cell8
2022-10-10 13:15:45,0.075,0.075,Cell8
2022-10-10 13:16:17,0.064,0.064,Cell8
2022-10-10 13:17:12,0.039,0.039,Cell8
2022-10-10 13:17:15,0.036,0.036,Cell8
2022-10-10 13:37:01,0.013,0.013,Cell8
2022-10-10 13:37:39,0.01,0.01,Cell8
2022-10-10 13:37:58,0.01,0.01,Cell8
2022-10-10 13:38:11,0.009,0.009,Cell8
2022-10-10 13:38:57,0.009,0.009,Cell8
2022-10-10 13:48:02,0.001,0.001,Cell8
2022-10-10 13:49:22,0.056,0.056,Cell8
