Date_Time,Cell21,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 13:00:04,0.805,0.805,Cell21
2022-10-10 13:00:50,0.569,0.569,Cell21
2022-10-10 13:01:42,0.111,0.111,Cell21
2022-10-10 13:15:47,0.074,0.074,Cell21
2022-10-10 13:17:07,0.041,0.041,Cell21
2022-10-10 13:31:04,0.929,0.929,Cell21
2022-10-10 13:31:28,0.881,0.881,Cell21
2022-10-10 13:33:01,0.785,0.785,Cell21
2022-10-10 13:33:07,0.753,0.753,Cell21
2022-10-10 13:33:27,0.601,0.601,Cell21
2022-10-10 13:33:28,0.591,0.591,Cell21
2022-10-10 14:44:31,0.931,0.931,Cell21
2022-10-10 14:44:47,0.921,0.921,Cell21
2022-10-10 14:45:00,0.909,0.909,Cell21
