Date_Time,Cell88,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 12:43:57,0.06,0.06,Cell88
2022-10-10 12:44:12,0.053,0.053,Cell88
2022-10-10 12:44:13,0.053,0.053,Cell88
2022-10-10 12:44:48,0.042,0.042,Cell88
2022-10-10 13:02:23,0.033,0.033,Cell88
2022-10-10 13:35:29,0.022,0.022,Cell88
2022-10-10 13:38:01,0.01,0.01,Cell88
2022-10-10 13:38:31,0.009,0.009,Cell88
2022-10-10 13:49:29,0.051,0.051,Cell88
2022-10-10 14:06:28,0.944,0.944,Cell88
2022-10-10 14:18:15,0.74,0.74,Cell88
2022-10-10 14:18:20,0.74,0.74,Cell88
2022-10-10 14:18:26,0.74,0.74,Cell88
