Date_Time,Cell57,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 14:20:19,0.701,0.701,Cell57
2022-10-10 14:23:25,0.693,0.693,Cell57
2022-10-10 14:23:26,0.693,0.693,Cell57
2022-10-10 14:23:28,0.693,0.693,Cell57
2022-10-10 14:23:29,0.693,0.693,Cell57
2022-10-10 14:23:30,0.692,0.692,Cell57
2022-10-10 14:23:31,0.694,0.694,Cell57
2022-10-10 14:23:32,0.694,0.694,Cell57
2022-10-10 14:23:33,0.692,0.692,Cell57
2022-10-10 14:23:34,0.692,0.692,Cell57
2022-10-10 14:23:35,0.693,0.693,Cell57
2022-10-10 14:23:36,0.695,0.695,Cell57
2022-10-10 14:23:37,0.691,0.691,Cell57
2022-10-10 14:23:38,0.692,0.692,Cell57
2022-10-10 14:23:39,0.695,0.695,Cell57
