Date_Time,Cell85,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 13:04:06,0.013,0.013,Cell85
2022-10-10 13:39:06,0.008,0.008,Cell85
2022-10-10 13:58:40,0.509,0.509,Cell85
2022-10-10 13:58:41,0.509,0.509,Cell85
2022-10-10 13:58:42,0.509,0.509,Cell85
2022-10-10 13:58:43,0.509,0.509,Cell85
2022-10-10 13:58:44,0.509,0.509,Cell85
2022-10-10 14:18:03,0.74,0.74,Cell85
2022-10-10 14:18:08,0.74,0.74,Cell85
2022-10-10 14:18:10,0.739,0.739,Cell85
2022-10-10 14:19:21,0.707,0.707,Cell85
2022-10-10 14:19:50,0.703,0.703,Cell85
2022-10-10 14:20:01,0.701,0.701,Cell85
2022-10-10 14:20:02,0.703,0.703,Cell85
2022-10-10 14:20:05,0.703,0.703,Cell85
2022-10-10 14:20:17,0.701,0.701,Cell85
2022-10-10 14:20:21,0.7,0.7,Cell85
2022-10-10 14:20:22,0.7,0.7,Cell85
2022-10-10 14:20:23,0.698,0.698,Cell85
2022-10-10 14:20:24,0.698,0.698,Cell85
2022-10-10 14:20:25,0.698,0.698,Cell85
2022-10-10 14:20:27,0.698,0.698,Cell85
2022-10-10 14:20:28,0.699,0.699,Cell85
2022-10-10 14:20:29,0.7,0.7,Cell85
2022-10-10 14:20:30,0.699,0.699,Cell85
2022-10-10 14:20:32,0.7,0.7,Cell85
2022-10-10 14:20:34,0.7,0.7,Cell85
2022-10-10 14:20:37,0.698,0.698,Cell85
2022-10-10 14:20:38,0.698,0.698,Cell85
2022-10-10 14:20:39,0.699,0.699,Cell85
2022-10-10 14:20:40,0.698,0.698,Cell85
2022-10-10 14:20:42,0.7,0.7,Cell85
2022-10-10 14:20:43,0.701,0.701,Cell85
2022-10-10 14:20:44,0.699,0.699,Cell85
2022-10-10 14:21:14,0.697,0.697,Cell85
2022-10-10 14:21:15,0.698,0.698,Cell85
2022-10-10 14:21:16,0.697,0.697,Cell85
2022-10-10 14:21:17,0.697,0.697,Cell85
2022-10-10 14:21:18,0.698,0.698,Cell85
