Date_Time,Cell5,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 12:30:06,0.029,0.029,Cell5
2022-10-10 12:30:08,0.03,0.03,Cell5
2022-10-10 12:30:34,0.023,0.023,Cell5
2022-10-10 12:30:59,0.017,0.017,Cell5
2022-10-10 12:31:15,0.017,0.017,Cell5
2022-10-10 12:31:25,0.016,0.016,Cell5
2022-10-10 12:31:46,0.014,0.014,Cell5
2022-10-10 12:33:22,0.01,0.01,Cell5
2022-10-10 12:40:36,0.004,0.004,Cell5
2022-10-10 12:42:39,0.003,0.003,Cell5
2022-10-10 12:42:40,0.004,0.004,Cell5
2022-10-10 12:42:56,0.079,0.079,Cell5
2022-10-10 12:43:30,0.07,0.07,Cell5
2022-10-10 12:43:37,0.068,0.068,Cell5
2022-10-10 12:43:56,0.061,0.061,Cell5
2022-10-10 12:43:59,0.06,0.06,Cell5
2022-10-10 12:44:02,0.059,0.059,Cell5
2022-10-10 12:44:05,0.057,0.057,Cell5
2022-10-10 12:44:29,0.046,0.046,Cell5
2022-10-10 12:44:53,0.881,0.881,Cell5
2022-10-10 12:45:09,0.955,0.955,Cell5
2022-10-10 12:45:13,0.957,0.957,Cell5
2022-10-10 12:45:18,0.957,0.957,Cell5
2022-10-10 12:45:22,0.957,0.957,Cell5
2022-10-10 12:45:37,0.955,0.955,Cell5
2022-10-10 12:59:31,0.824,0.824,Cell5
2022-10-10 13:02:07,0.048,0.048,Cell5
2022-10-10 13:02:57,0.022,0.022,Cell5
2022-10-10 13:03:14,0.02,0.02,Cell5
2022-10-10 13:03:17,0.019,0.019,Cell5
2022-10-10 13:04:11,0.013,0.013,Cell5
2022-10-10 13:16:05,0.069,0.069,Cell5
2022-10-10 13:16:30,0.059,0.059,Cell5
2022-10-10 13:16:36,0.057,0.057,Cell5
2022-10-10 13:17:01,0.044,0.044,Cell5
2022-10-10 13:17:41,0.945,0.945,Cell5
2022-10-10 13:17:54,0.959,0.959,Cell5
2022-10-10 13:31:17,0.903,0.903,Cell5
2022-10-10 13:31:22,0.89,0.89,Cell5
2022-10-10 13:31:44,0.855,0.855,Cell5
2022-10-10 13:31:49,0.848,0.848,Cell5
2022-10-10 13:31:53,0.842,0.842,Cell5
2022-10-10 13:32:19,0.811,0.811,Cell5
2022-10-10 13:32:27,0.803,0.803,Cell5
2022-10-10 13:34:46,0.041,0.041,Cell5
2022-10-10 13:34:55,0.033,0.033,Cell5
2022-10-10 13:35:01,0.029,0.029,Cell5
2022-10-10 13:35:17,0.025,0.025,Cell5
2022-10-10 13:35:18,0.025,0.025,Cell5
2022-10-10 13:35:26,0.022,0.022,Cell5
2022-10-10 13:35:31,0.022,0.022,Cell5
2022-10-10 13:35:34,0.021,0.021,Cell5
2022-10-10 13:35:35,0.021,0.021,Cell5
2022-10-10 13:35:36,0.021,0.021,Cell5
2022-10-10 13:35:45,0.02,0.02,Cell5
2022-10-10 13:35:55,0.019,0.019,Cell5
2022-10-10 13:35:59,0.018,0.018,Cell5
2022-10-10 13:36:08,0.017,0.017,Cell5
2022-10-10 13:36:16,0.016,0.016,Cell5
2022-10-10 13:36:18,0.015,0.015,Cell5
2022-10-10 13:36:35,0.015,0.015,Cell5
2022-10-10 13:36:36,0.015,0.015,Cell5
2022-10-10 13:36:44,0.014,0.014,Cell5
2022-10-10 13:36:51,0.014,0.014,Cell5
2022-10-10 13:37:05,0.013,0.013,Cell5
2022-10-10 13:37:12,0.012,0.012,Cell5
2022-10-10 13:37:32,0.012,0.012,Cell5
2022-10-10 13:38:16,0.01,0.01,Cell5
2022-10-10 13:38:34,0.01,0.01,Cell5
2022-10-10 13:38:35,0.01,0.01,Cell5
2022-10-10 13:38:50,0.009,0.009,Cell5
2022-10-10 13:38:51,0.009,0.009,Cell5
2022-10-10 13:39:03,0.009,0.009,Cell5
2022-10-10 13:48:12,0.068,0.068,Cell5
2022-10-10 13:48:13,0.073,0.073,Cell5
2022-10-10 13:48:44,0.069,0.069,Cell5
2022-10-10 13:50:20,0.941,0.941,Cell5
2022-10-10 13:50:25,0.956,0.956,Cell5
2022-10-10 13:50:26,0.954,0.954,Cell5
2022-10-10 13:50:30,0.959,0.959,Cell5
2022-10-10 13:50:38,0.962,0.962,Cell5
2022-10-10 13:50:40,0.962,0.962,Cell5
2022-10-10 13:50:43,0.963,0.963,Cell5
2022-10-10 13:50:46,0.964,0.964,Cell5
2022-10-10 14:05:29,0.959,0.959,Cell5
2022-10-10 14:05:50,0.946,0.946,Cell5
2022-10-10 14:06:05,0.932,0.932,Cell5
2022-10-10 14:06:41,0.958,0.958,Cell5
2022-10-10 14:06:51,0.823,0.823,Cell5
2022-10-10 14:40:35,0.958,0.958,Cell5
2022-10-10 14:40:47,0.959,0.959,Cell5
2022-10-10 14:40:52,0.958,0.958,Cell5
2022-10-10 14:40:58,0.959,0.959,Cell5
2022-10-10 14:40:59,0.959,0.959,Cell5
2022-10-10 14:41:03,0.958,0.958,Cell5
2022-10-10 14:41:08,0.958,0.958,Cell5
2022-10-10 14:41:59,0.916,0.916,Cell5
2022-10-10 14:42:00,0.916,0.916,Cell5
2022-10-10 14:42:09,0.957,0.957,Cell5
2022-10-10 14:43:42,0.954,0.954,Cell5
2022-10-10 14:43:48,0.95,0.95,Cell5
2022-10-10 14:43:57,0.94,0.94,Cell5
2022-10-10 14:44:02,0.939,0.939,Cell5
2022-10-10 14:44:38,0.927,0.927,Cell5
2022-10-10 14:44:43,0.925,0.925,Cell5
2022-10-10 14:44:50,0.918,0.918,Cell5
2022-10-10 14:44:52,0.916,0.916,Cell5
2022-10-10 14:44:53,0.916,0.916,Cell5
2022-10-10 14:45:06,0.905,0.905,Cell5
